,TRADE_DATE,VOLUME_FINANCE_SELL,VOLUME_INSURANCE_SELL,VOLUME_INVESTORTRUST_SELL,VOLUME_PRIVATE_SELL,VOLUME_BANK_SELL,VOLUME_OTHERFINANCE_SELL,VOLUME_OTHERFUND_SELL,VOLUME_OTHERCORPORATION_SELL,VOLUME_INDIVIDUAL_SELL,VOLUME_FOREIGNER_SELL,VOLUME_OTHERFORIGNER_SELL,STK_CODE,VOLUME_FINANCE_BUY,VOLUME_INSURANCE_BUY,VOLUME_INVESTORTRUST_BUY,VOLUME_PRIVATE_BUY,VOLUME_BANK_BUY,VOLUME_OTHERFINANCE_BUY,VOLUME_OTHERFUND_BUY,VOLUME_OTHERCORPORATION_BUY,VOLUME_INDIVIDUAL_BUY,VOLUME_FOREIGNER_BUY,VOLUME_OTHERFORIGNER_BUY,VOLUME_FINANCE_NET,VOLUME_INSURANCE_NET,VOLUME_INVESTORTRUST_NET,VOLUME_PRIVATE_NET,VOLUME_BANK_NET,VOLUME_OTHERFINANCE_NET,VOLUME_OTHERFUND_NET,VOLUME_OTHERCORPORATION_NET,VOLUME_INDIVIDUAL_NET,VOLUME_FOREIGNER_NET,VOLUME_OTHERFORIGNER_NET,TRADEVALUE_FINANCE_SELL,TRADEVALUE_INSURANCE_SELL,TRADEVALUE_INVESTORTRUST_SELL,TRADEVALUE_PRIVATE_SELL,TRADEVALUE_BANK_SELL,TRADEVALUE_OTHERFINANCE_SELL,TRADEVALUE_OTHERFUND_SELL,TRADEVALUE_OTHERCORPORATION_SELL,TRADEVALUE_INDIVIDUAL_SELL,TRADEVALUE_FOREIGNER_SELL,TRADEVALUE_OTHERFORIGNER_SELL,TRADEVALUE_FINANCE_BUY,TRADEVALUE_INSURANCE_BUY,TRADEVALUE_INVESTORTRUST_BUY,TRADEVALUE_PRIVATE_BUY,TRADEVALUE_BANK_BUY,TRADEVALUE_OTHERFINANCE_BUY,TRADEVALUE_OTHERFUND_BUY,TRADEVALUE_OTHERCORPORATION_BUY,TRADEVALUE_INDIVIDUAL_BUY,TRADEVALUE_FOREIGNER_BUY,TRADEVALUE_OTHERFORIGNER_BUY,TRADEVALUE_FINANCE_NET,TRADEVALUE_INSURANCE_NET,TRADEVALUE_INVESTORTRUST_NET,TRADEVALUE_PRIVATE_NET,TRADEVALUE_BANK_NET,TRADEVALUE_OTHERFINANCE_NET,TRADEVALUE_OTHERFUND_NET,TRADEVALUE_OTHERCORPORATION_NET,TRADEVALUE_INDIVIDUAL_NET,TRADEVALUE_FOREIGNER_NET,TRADEVALUE_OTHERFORIGNER_NET
0,2022-12-02,1990412,103426,227041,256628,9224,21,5207396,11838,1071559,6450792,2847,005930,778120,41526,231361,9879,22085,326,4666575,75301,5517699,3964308,24004,-1212292,-61900,4320,-246749,12861,305,-540821,63463,4446140,-2486484,21157,121687676600,6287313400,13889694700,15625913600,561056000,1270500,318573171700,724949000,65446230800,392988782120,174794700,47242073200,2530917300,14034768800,604157200,1336927500,19828900,285812818600,4589005700,336405297300,241920908220,1464150400,-74445603400,-3756396100,145074100,-15021756400,775871500,18558400,-32760353100,3864056700,270959066500,-151067873900,1289355700
1,2022-12-01,1552559,31902,162643,319332,37250,162,4652049,64619,5164145,4621633,25151,005930,2341480,37245,241462,42623,10,778,4325435,204136,1684814,7748114,5348,788921,5343,78819,-276709,-37240,616,-326614,139517,-3479331,3126481,-19803,97483355100,2000952500,10191734700,20001903800,2333544100,10213100,292218692100,4063381300,324643058200,290016956850,1582370200,146819249100,2338340700,15143542100,2676523700,630000,48858800,271663936400,12855785900,105854294600,486808214050,336786600,49335894000,337388200,4951807400,-17325380100,-2332914100,38645700,-20554755700,8792404600,-218788763600,196791257200,-1245583600
2,2022-11-30,2787900,91548,70686,113810,13677,1163,3594214,341165,3895880,8838854,20006,005930,662868,67423,93732,42491,38,8439,3570520,69221,835518,14412392,6261,-2125032,-24125,23046,-71319,-13639,7276,-23694,-271944,-3060362,5573538,-13745,171918287700,5616583700,4363499900,6963459500,848342600,71067800,219835783800,21007111500,239290292600,547210320744,1230208600,40564446500,4148339100,5762417900,2612404100,2325600,519439900,218177664800,4252124400,51135587800,890799081844,381126500,-131353841200,-1468244600,1398918000,-4351055400,-846017000,448372100,-1658119000,-16754987100,-188154704800,343588761100,-849082100
3,2022-11-29,480672,96712,37241,62490,2814,1456,2302180,12917,1225626,2770624,21428,005930,1095702,51453,27757,131844,527,318,2287208,35368,884589,2496735,2659,615030,-45259,-9484,69354,-2287,-1138,-14972,22451,-341037,-273889,-18769,28953202900,5825082300,2243354900,3753467900,170270600,87365100,138555457100,775042900,73774079900,166795075473,1293602600,65878416000,3105206500,1676085500,7954666600,31852600,19112900,137535294000,2128079100,53195856500,150541517673,159914300,36925213100,-2719875800,-567269400,4201198700,-138418000,-68252200,-1020163100,1353036200,-20578223400,-16253557800,-1133688300
4,2022-11-28,1419287,113695,303365,175683,27477,1221,3159737,210502,1420889,1753416,3760,005930,1008534,10778,24711,20493,12632,324,2808948,282797,2454625,1955807,9383,-410753,-102917,-278654,-155190,-14845,-897,-350789,72295,1033736,202391,5623,85190969100,6815256500,18174138900,10527796300,1646489600,73138000,189660613300,12612108400,85214585600,105346072000,225437400,60547767200,646689300,1483589600,1230619600,759018300,19440300,168543268300,16962900800,147295375100,117435239800,562696800,-24643201900,-6168567200,-16690549300,-9297176700,-887471300,-53697700,-21117345000,4350792400,62080789500,12089167800,337259400
5,2022-11-25,879830,98603,75459,6252,530,20012,2799688,63274,969035,1762634,2616,005930,789344,61234,14162,67772,3048,318,2563775,31892,954298,2183770,8320,-90486,-37369,-61297,61520,2518,-19694,-235913,-31382,-14737,421136,5704,53736042400,6013494400,4602091100,381706800,32494600,1221095700,171071993000,3861694500,59239761000,107633171200,159671500,48192013700,3741146600,864694800,4139713000,186149400,19398800,156630646600,1947053900,58227105600,133497172700,508121100,-5544028700,-2272347800,-3737396300,3758006200,153654800,-1201696900,-14441346400,-1914640600,-1012655400,25864001500,348449600
6,2022-11-24,1293853,67345,86863,15358,5097,867,3491983,98517,1631005,1428522,5600,005930,1440466,4020,96924,92763,4580,5797,3371411,31489,1072805,2001676,3079,146613,-63325,10061,77405,-517,4930,-120572,-67028,-558200,573154,-2521,79304012500,4120590800,5312082500,938110500,312524100,53230600,213589109800,6039826300,99839650400,87421686250,342470800,88254493700,246192200,5936099700,5686129100,280754000,354761900,206144555200,1924728100,65589775600,122667643050,188162000,8950481200,-3874398600,624017200,4748018600,-31770100,301531300,-7444554600,-4115098200,-34249874800,35245956800,-154308800
7,2022-11-23,671774,22555,45987,15672,3024,15,4565649,8822,1253982,2167694,9876,005930,1074788,2393,40011,38498,8508,328,4320583,50904,936722,2285024,7291,403014,-20162,-5976,22826,5484,313,-245066,42082,-317260,117330,-2585,40993107900,1373404700,2796899900,954096500,184456800,913500,278436922600,537452400,76482893000,132217599900,602464300,65535750100,146031100,2438476800,2348208300,519338000,19975500,263483926400,3104731500,57120765900,139418425200,444582700,24542642200,-1227373600,-358423100,1394111800,334881200,19062000,-14952996200,2567279100,-19362127100,7200825300,-157881600
8,2022-11-22,679988,53548,48953,69943,717,59947,4484715,23268,1391044,2592338,6828,005930,1074269,22880,109905,46804,9675,319,4276812,20134,1673229,2172633,4629,394281,-30668,60952,-23139,8958,-59628,-207903,-3134,282185,-419705,-2199,41287545100,3246684600,2970920400,4246135300,43474200,3633596800,272398438900,1410817100,84483069400,157324617300,415263700,65203539800,1389815200,6675390300,2841194400,587100800,19333800,259718175000,1221283000,101567388400,131956192900,281149200,23915994700,-1856869400,3704469900,-1404940900,543626600,-3614263000,-12680263900,-189534100,17084319000,-25368424400,-134114500
9,2022-11-21,670423,13352,95783,215500,0,6016,4054617,13592,1528574,2776294,3946,005930,1821234,45600,50795,77566,4676,340,3798043,20745,1800722,1753495,4881,1150811,32248,-44988,-137934,4676,-5676,-256574,7153,272148,-1022799,935,41079773500,815546800,5865681600,13162210600,0,367625600,248074305600,829263500,93463477200,169883811809,241643200,111389460600,2783911900,3106533000,4749974100,286640800,20779600,232342677300,1268213400,110077903300,107458666809,298578600,70309687100,1968365100,-2759148600,-8412236500,286640800,-346846000,-15731628300,438949900,16614426100,-62425145000,56935400
10,2022-11-18,1452102,49278,138359,125935,1000,171,5403973,30181,2191156,2839729,4619,005930,1702713,10147,180158,109885,0,334,5244511,33509,1406768,3545225,3253,250611,-39131,41799,-16050,-1000,163,-159462,3328,-784388,705496,-1366,89810510700,3043593200,8563448700,7786225400,61800000,10565600,334707727800,1871932800,135691821000,175620779270,286501000,105423412100,627795200,11154896000,6815333600,0,20761600,324721225500,2072097400,87052776900,219365363670,201243500,15612901400,-2415798000,2591447300,-970891800,-61800000,10196000,-9986502300,200164600,-48639044100,43744584400,-85257500
11,2022-11-17,1442963,50881,252488,123155,5746,2016,5196311,36010,1497165,4686977,4584,005930,1555719,37998,174292,217447,12363,325,5177636,44446,3232231,2840473,5366,112756,-12883,-78196,94292,6617,-1691,-18675,8436,1735066,-1846504,782,88770412200,3133097900,15536347000,7585933900,356002000,124385600,320086718200,2218422900,92273244000,288752058100,282185000,95810132700,2340347300,10742069800,13396853000,760921200,20020200,318899615900,2736835200,199084467900,174997058500,330485100,7039720500,-792750600,-4794277200,5810919100,404919200,-104365400,-1187102300,518412300,106811223900,-113754999600,48300100
12,2022-11-16,1476164,35120,220901,129833,5078,9,5960643,62477,2662325,2347971,8739,005930,2000065,44305,93842,144340,24,335,5462389,25584,1737841,3397537,2998,523901,9185,-127059,14507,-5054,326,-498254,-36893,-924484,1049566,-5741,92077083300,2189481400,13770296300,8087755100,317518100,562300,370838378400,3896256100,165969797400,146528998250,543540600,124840946100,2762926200,5849068300,9030347200,1488800,20863900,339624978300,1593578600,108117724600,212191277350,186467900,32763862800,573444800,-7921228000,942592100,-316029300,20301600,-31213400100,-2302677500,-57852072800,65662279100,-357072700
13,2022-11-15,1180609,61108,376429,241121,1626,9098,6091538,70542,2373813,1891572,13530,005930,2325458,61744,91157,49965,19785,4515,5583995,50983,1578912,2542130,2342,1144849,636,-285272,-191156,18159,-4583,-507543,-19559,-794901,650558,-11188,73343690300,3794416900,23369733600,14979174900,100982900,565024600,377768642600,4379631000,147424267100,117551856243,839819600,144440984900,3830801100,5667935300,3106806000,1226698500,281230600,346210814400,3170269300,97962452100,158074121643,145125900,71097294600,36384200,-17701798300,-11872368900,1125715600,-283794000,-31557828200,-1209361700,-49461815000,40522265400,-694693700
14,2022-11-14,1372765,131808,485075,363963,1061,1263,6306498,71458,2686208,4534778,18539,005930,1709003,3514,33058,27179,13019,4899,6065846,56094,3709592,4327288,23924,336238,-128294,-452017,-336784,11958,3636,-240652,-15364,1023384,-207490,5385,85376713000,8168274000,30090609300,22576159400,65869300,78268800,392488079200,4432609800,167257587200,281662205480,1155858600,106012621200,218110800,2050092400,1682566000,805887300,303685200,377526971500,3483142000,230766178700,269011883980,1491095000,20635908200,-7950163200,-28040516900,-20893593400,740018000,225416400,-14961107700,-949467800,63508591500,-12650321500,335236400
15,2022-11-11,488654,49009,206348,108404,21830,19668,5240165,188379,9633925,4036659,44122,005930,3884101,83300,178990,155002,835,11,5144853,82687,3497832,6998294,11258,3395447,34291,-27358,46598,-20995,-19657,-95312,-105692,-6136093,2961635,-32864,30691688400,3072633400,12928414200,6789357800,1369576800,1228365200,328537079200,11827739300,604632700300,253284875161,2767212100,243630355000,5229671900,11227458300,9724186100,52260700,689500,322325670800,5186731300,219576162300,439469608561,706847400,212938666600,2157038500,-1700955900,2934828300,-1317316100,-1227675700,-6211408400,-6641008000,-385056538000,186184733400,-2060364700
